Payment_ID,Invoice_ID,Student_ID,Payment_Date,Payment_Method,Amount_Paid,Transaction_Reference,Payment_Status,Payment_Date_DT
PAY0000001,INV0001368,STU000388,2026-08-31,Cash,4030000,TXN-09060298WN,Successful,2026-08-31
PAY0000002,INV0000775,STU001421,2028-10-12,Bank Transfer,14437000,TXN-45454055YA,Pending,2028-10-12
PAY0000003,INV0001329,STU000340,2026-05-03,Bank Transfer,20183000,TXN-81300955RP,Successful,2026-05-03
PAY0000004,INV0001793,STU001462,2026-09-30,Cash,11202000,TXN-10371832II,Successful,2026-09-30
PAY0000005,INV0002280,STU000226,2023-04-04,Card,6885000,TXN-52597108FC,Successful,2023-04-04
PAY0000006,INV0001938,STU000263,2021-06-27,Card,14752000,TXN-54984114BW,Successful,2021-06-27
PAY0000007,INV0002761,STU001082,2026-09-01,Card,4144000,TXN-59086690WM,Successful,2026-09-01
PAY0000008,INV0000264,STU001046,2023-09-30,Cash,26390000,TXN-03971124CG,Successful,2023-09-30
PAY0000009,INV0000803,STU001257,2023-04-16,Card,19602000,TXN-04595972UI,Successful,2023-04-16
PAY0000010,INV0002242,STU000544,2027-04-20,Cash,2964000,TXN-21921778EL,Successful,2027-04-20
PAY0000011,INV0000691,STU001015,2029-10-17,Bank Transfer,6695000,TXN-58382097CC,Successful,2029-10-17
PAY0000012,INV0000475,STU000742,2022-07-02,E-Wallet,5747000,TXN-66104786HJ,Successful,2022-07-02
PAY0000013,INV0002730,STU000454,2023-07-01,Bank Transfer,11092000,TXN-05482251OK,Successful,2023-07-01
PAY0000014,INV0002487,STU000967,2020-07-13,Bank Transfer,4741000,TXN-00928587UC,Successful,2020-07-13
PAY0000015,INV0000273,STU001474,2022-07-10,Bank Transfer,26213000,TXN-77858401TY,Successful,2022-07-10
PAY0000016,INV0002944,STU000246,2024-12-14,Bank Transfer,11763000,TXN-54043943MW,Successful,2024-12-14
PAY0000017,INV0000261,STU000620,2024-05-27,E-Wallet,13788000,TXN-02795105MH,Successful,2024-05-27
PAY0000018,INV0002067,STU000220,2023-01-28,Cash,17818000,TXN-97256181EW,Pending,2023-01-28
PAY0000019,INV0002937,STU000320,2025-06-25,Bank Transfer,5150000,TXN-19073858KN,Successful,2025-06-25
PAY0000020,INV0001714,STU000069,2025-04-27,Bank Transfer,5658000,TXN-75552649YO,Successful,2025-04-27
PAY0000021,INV0002488,STU000444,2029-04-04,Card,4266000,TXN-70802976WZ,Successful,2029-04-04
PAY0000022,INV0002387,STU000404,2027-12-11,E-Wallet,4780000,TXN-58026028GG,Successful,2027-12-11
PAY0000023,INV0000660,STU001177,2026-09-19,Bank Transfer,17418000,TXN-56381858FG,Successful,
PAY0000024,INV0000763,STU000325,2024-04-08,Card,24135000,TXN-85872478NB,Successful,2024-04-08
PAY0000025,INV0002446,STU000156,2024-10-01,Card,21968000,TXN-87799883HS,Successful,2024-10-01
PAY0000026,INV0001639,STU000495,2027-07-20,Bank Transfer,9721000,TXN-95825586TK,Successful,2027-07-20
PAY0000027,INV0002051,STU000695,2027-02-04,Bank Transfer,25840000,TXN-89469705VN,Successful,2027-02-04
PAY0000028,INV0001275,STU000712,2024-12-18,Bank Transfer,8161000,TXN-88658082ET,Successful,2024-12-18
PAY0000029,INV0002426,STU000279,2028-03-11,E-Wallet,8153000,TXN-57898937PA,Failed,2028-03-11
PAY0000030,INV0001689,STU001007,2023-09-27,Card,8244000,TXN-01470189BZ,Successful,2023-09-27
PAY0000031,INV0002245,STU000267,2023-12-16,Cash,26211000,TXN-07849701QI,Successful,2023-12-16
PAY0000032,INV0000716,STU000278,2021-12-17,E-Wallet,18319000,TXN-85606223DM,Successful,2021-10-05
PAY0000033,INV0001921,STU000908,2026-10-16,Cash,15338000,TXN-60170894TD,Successful,2026-10-16
PAY0000034,INV0000643,STU000680,2027-10-09,Card,9719000,TXN-53745426HU,Successful,2027-10-09
PAY0000035,INV0000375,STU000945,2026-01-23,E-Wallet,20667000,TXN-11809352XR,Successful,2026-01-23
PAY0000036,INV0002849,STU001323,2023-08-27,E-Wallet,20562000,TXN-50971397TE,Failed,2023-08-27
PAY0000037,INV0000243,STU000150,2029-11-07,Cash,22192000,TXN-41559198NK,Successful,2029-11-07
PAY0000038,INV0000433,STU000551,2026-07-12,Cash,12080000,TXN-24287401WA,Successful,2026-07-12
PAY0000039,INV0000571,STU000992,2028-08-29,E-Wallet,5371000,TXN-02646769JH,Successful,
PAY0000040,INV0001110,STU000280,2029-01-20,Cash,4076000,TXN-91494914VS,Successful,2029-01-20
PAY0000041,INV0000734,STU000065,2030-04-02,Bank Transfer,26333000,TXN-80215794JN,Successful,2030-04-02
PAY0000042,INV0000734,STU000065,2030-05-10,Cash,26308000,TXN-85657466WG,Successful,2030-05-10
