Table_Name,Record_ID,Error_Type,Column_Name,Original_Value,Corrupted_Value,Description
dim_students,STU000097,MISSING_MAJOR,Major,Du lịch - Khách sạn,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU001182,MISSING_MAJOR,Major,Kinh tế,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000928,MISSING_MAJOR,Major,Kỹ thuật điện,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000503,MISSING_MAJOR,Major,Truyền thông,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000401,MISSING_MAJOR,Major,Ngoại ngữ,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000398,MISSING_MAJOR,Major,Truyền thông,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000468,MISSING_MAJOR,Major,Kinh tế,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000910,MISSING_MAJOR,Major,Công nghệ thông tin,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU001032,MISSING_MAJOR,Major,Tài chính - Kế toán,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000537,MISSING_MAJOR,Major,Công nghệ thông tin,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000054,MISSING_MAJOR,Major,Quản trị kinh doanh,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000152,MISSING_MAJOR,Major,Luật,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU001290,MISSING_MAJOR,Major,Kỹ thuật xây dựng,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000677,MISSING_MAJOR,Major,Kỹ thuật xây dựng,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000112,MISSING_MAJOR,Major,Khoa học dữ liệu,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU001353,MISSING_MAJOR,Major,Công nghệ sinh học,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU001472,MISSING_MAJOR,Major,Kinh tế,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000456,MISSING_MAJOR,Major,Quản trị kinh doanh,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000523,MISSING_MAJOR,Major,Tài chính - Kế toán,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000071,MISSING_MAJOR,Major,Công nghệ thông tin,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000573,MISSING_MAJOR,Major,Kinh tế,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000291,MISSING_MAJOR,Major,Tài chính - Kế toán,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000760,MISSING_MAJOR,Major,Khoa học dữ liệu,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU001424,MISSING_MAJOR,Major,Tài chính - Kế toán,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000383,MISSING_MAJOR,Major,Quản trị kinh doanh,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU001360,MISSING_MAJOR,Major,Quản trị kinh doanh,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000943,MISSING_MAJOR,Major,Khoa học dữ liệu,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU001343,MISSING_MAJOR,Major,Khoa học dữ liệu,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU001088,MISSING_MAJOR,Major,Khoa học dữ liệu,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000247,MISSING_MAJOR,Major,Ngoại ngữ,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU001054,MISSING_MAJOR,Major,Du lịch - Khách sạn,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000395,MISSING_MAJOR,Major,Khoa học dữ liệu,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000172,MISSING_MAJOR,Major,Kinh tế,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000278,MISSING_MAJOR,Major,Quản trị kinh doanh,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU001005,MISSING_MAJOR,Major,Truyền thông,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000728,MISSING_MAJOR,Major,Quản trị kinh doanh,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000511,MISSING_MAJOR,Major,Truyền thông,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000306,MISSING_MAJOR,Major,Khoa học dữ liệu,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000990,MISSING_MAJOR,Major,Du lịch - Khách sạn,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000613,MISSING_MAJOR,Major,Kinh tế,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU001260,MISSING_MAJOR,Major,Công nghệ sinh học,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000502,MISSING_MAJOR,Major,Khoa học dữ liệu,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000017,MISSING_MAJOR,Major,Du lịch - Khách sạn,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU001425,MISSING_MAJOR,Major,Khoa học dữ liệu,,Sinh viên thiếu thông tin chuyên ngành.
dim_students,STU000515,MISSING_MAJOR,Major,Tài chính - Kế toán,,Sinh viên thiếu thông tin chuyên ngành.
fact_payments,PAY0000972,MISSING_PAYMENT_DATE,Payment_Date,2026-10-24 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0003497,MISSING_PAYMENT_DATE,Payment_Date,2022-06-05 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001293,MISSING_PAYMENT_DATE,Payment_Date,2021-05-18 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0002900,MISSING_PAYMENT_DATE,Payment_Date,2023-05-05 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0002045,MISSING_PAYMENT_DATE,Payment_Date,2028-08-04 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0000617,MISSING_PAYMENT_DATE,Payment_Date,2024-12-08 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0002530,MISSING_PAYMENT_DATE,Payment_Date,2023-05-30 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001560,MISSING_PAYMENT_DATE,Payment_Date,2025-05-21 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0003448,MISSING_PAYMENT_DATE,Payment_Date,2023-03-03 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0003427,MISSING_PAYMENT_DATE,Payment_Date,2027-08-24 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001928,MISSING_PAYMENT_DATE,Payment_Date,2025-08-03 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0000731,MISSING_PAYMENT_DATE,Payment_Date,2024-09-22 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0003194,MISSING_PAYMENT_DATE,Payment_Date,2026-11-11 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001490,MISSING_PAYMENT_DATE,Payment_Date,2022-10-20 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001339,MISSING_PAYMENT_DATE,Payment_Date,2027-05-19 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001152,MISSING_PAYMENT_DATE,Payment_Date,2029-10-20 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001702,MISSING_PAYMENT_DATE,Payment_Date,2022-12-18 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0002182,MISSING_PAYMENT_DATE,Payment_Date,2024-04-20 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001952,MISSING_PAYMENT_DATE,Payment_Date,2027-11-28 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0002165,MISSING_PAYMENT_DATE,Payment_Date,2024-09-06 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0002014,MISSING_PAYMENT_DATE,Payment_Date,2021-12-12 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001197,MISSING_PAYMENT_DATE,Payment_Date,2023-05-21 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001116,MISSING_PAYMENT_DATE,Payment_Date,2024-07-01 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0000953,MISSING_PAYMENT_DATE,Payment_Date,2024-12-05 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0003461,MISSING_PAYMENT_DATE,Payment_Date,2026-11-06 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001397,MISSING_PAYMENT_DATE,Payment_Date,2022-10-01 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001065,MISSING_PAYMENT_DATE,Payment_Date,2023-12-25 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001575,MISSING_PAYMENT_DATE,Payment_Date,2026-11-13 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001042,MISSING_PAYMENT_DATE,Payment_Date,2025-08-13 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0000358,MISSING_PAYMENT_DATE,Payment_Date,2025-12-19 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001992,MISSING_PAYMENT_DATE,Payment_Date,2022-09-13 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0000574,MISSING_PAYMENT_DATE,Payment_Date,2023-09-14 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0000433,MISSING_PAYMENT_DATE,Payment_Date,2021-12-28 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0002320,MISSING_PAYMENT_DATE,Payment_Date,2029-10-01 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001492,MISSING_PAYMENT_DATE,Payment_Date,2026-04-28 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001985,MISSING_PAYMENT_DATE,Payment_Date,2026-01-29 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0000189,MISSING_PAYMENT_DATE,Payment_Date,2024-06-27 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0003130,MISSING_PAYMENT_DATE,Payment_Date,2025-05-11 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001929,MISSING_PAYMENT_DATE,Payment_Date,2022-02-15 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0002917,MISSING_PAYMENT_DATE,Payment_Date,2026-04-06 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001828,MISSING_PAYMENT_DATE,Payment_Date,2022-10-15 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001902,MISSING_PAYMENT_DATE,Payment_Date,2023-11-24 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0000755,MISSING_PAYMENT_DATE,Payment_Date,2028-11-09 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001069,MISSING_PAYMENT_DATE,Payment_Date,2022-05-10 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001151,MISSING_PAYMENT_DATE,Payment_Date,2024-12-06 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0000981,MISSING_PAYMENT_DATE,Payment_Date,2022-03-24 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0000766,MISSING_PAYMENT_DATE,Payment_Date,2027-07-12 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0003277,MISSING_PAYMENT_DATE,Payment_Date,2023-01-17 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0003157,MISSING_PAYMENT_DATE,Payment_Date,2022-06-19 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001855,MISSING_PAYMENT_DATE,Payment_Date,2025-11-28 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0003326,MISSING_PAYMENT_DATE,Payment_Date,2026-10-30 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0000594,MISSING_PAYMENT_DATE,Payment_Date,2026-01-26 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001210,MISSING_PAYMENT_DATE,Payment_Date,2026-11-29 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0003184,MISSING_PAYMENT_DATE,Payment_Date,2028-04-03 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0000873,MISSING_PAYMENT_DATE,Payment_Date,2024-11-05 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001814,MISSING_PAYMENT_DATE,Payment_Date,2028-06-02 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0000936,MISSING_PAYMENT_DATE,Payment_Date,2024-12-01 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0002126,MISSING_PAYMENT_DATE,Payment_Date,2023-08-31 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0002565,MISSING_PAYMENT_DATE,Payment_Date,2023-08-30 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0000039,MISSING_PAYMENT_DATE,Payment_Date,2028-09-27 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001651,MISSING_PAYMENT_DATE,Payment_Date,2024-11-07 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001305,MISSING_PAYMENT_DATE,Payment_Date,2025-09-17 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0002375,MISSING_PAYMENT_DATE,Payment_Date,2022-03-03 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0001984,MISSING_PAYMENT_DATE,Payment_Date,2026-04-30 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0000219,MISSING_PAYMENT_DATE,Payment_Date,2025-10-19 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0002673,MISSING_PAYMENT_DATE,Payment_Date,2021-12-17 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0000693,MISSING_PAYMENT_DATE,Payment_Date,2025-09-24 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
fact_payments,PAY0002136,MISSING_PAYMENT_DATE,Payment_Date,2024-08-31 00:00:00,,Giao dịch tồn tại nhưng ngày thanh toán bị null.
