Expense_ID,Department_ID,Expense_Date,Expense_Category,Vendor_Name,Description,Amount,Approval_Status,Payment_Method
EXP0000001,DEP016,2023-05-09,Research,Dương và Trần Công ty Trách nhiệm hữu hạn,Trong mỗi tự để nhưng như một giống có.,63302000,Rejected,Bank Transfer
EXP0000002,DEP011,2022-11-29,Research,Mai Trần Doanh nghiệp tư nhân,Hơn như từ lớn sẽ lớn số.,337311000,Rejected,Bank Transfer
EXP0000003,DEP007,08/10/2022,Research,Hoàng và Nguyễn Công ty TNHH,Một giống dưới tại.,127244000,Pending,Corporate Card
EXP0000004,DEP020,2022-05-17,Office Supplies,Đặng Công ty TNHH,Chưa của có tại điều với thay.,4218000,Rejected,Cash
EXP0000005,DEP015,2025-08-05,Office Supplies,Nguyễn và đối tác Tập Đoàn,Cách cũng đi trong cũng.,19061000,Approved,Cash
EXP0000006,DEP019,2026-02-05,Utilities,Lê và Lê Doanh nghiệp tư nhân,Một trong như sẽ đúng hoặc mà một.,21982000,Pending,Corporate Card
EXP0000007,DEP016,2025-03-14,Scholarship,Bùi Doanh nghiệp tư nhân,Như từ gần nhưng thì khi vài.,223175000,Rejected,Cash
EXP0000008,DEP017,2023-02-01,Maintenance,Dương Công ty TNHH,Với như đi của.,136295000,Rejected,Bank Transfer
EXP0000009,DEP004,2025-05-30,Research,Đặng và đối tác Doanh nghiệp tư nhân,Cái cũng tự thay đi tại.,226397000,Approved,Corporate Card
EXP0000010,DEP014,2025-05-20,Office Supplies,  Bùi Nguyễn Công ty TNHH   ,Đúng cho và nơi như này.,13627000,Rejected,Cash
EXP0000011,DEP012,2025-06-19,Marketing,Bùi Tập Đoàn,Đến cái gần với bạn.,40820000,Rejected,Bank Transfer
EXP0000012,DEP004,2024-04-11,Salary,Nguyễn Phạm Công ty Cổ phần,Thì từng hoặc đang lớn điều số lớn.,346529000,Rejected,Cash
EXP0000013,DEP010,2025-04-04,Equipment,Hoàng và Nguyễn Công ty TNHH MTV,Chỉ để điều được đi nào.,65793000,Pending,Cash
