Payment_ID,Invoice_ID,Student_ID,Payment_Date,Payment_Method,Amount_Paid,Transaction_Reference,Payment_Status
PAY0000001,INV0001368,STU000388,2026-08-31,Cash,4030000,TXN-09060298WN,Successful
PAY0000002,INV0000775,STU001421,2028-10-12,Bank Transfer,14437000,TXN-45454055YA,Pending
PAY0000003,INV0001329,STU000340,2026-05-03,Bank Transfer,20183000,TXN-81300955RP,Successful
PAY0000004,INV0001793,STU001462,2026-09-30,Cash,11202000,TXN-10371832II,Successful
PAY0000005,INV0002280,STU000226,2023-04-04,Card,6885000,TXN-52597108FC,Successful
PAY0000006,INV0001938,STU000263,2021-06-27,Card,14752000,TXN-54984114BW,Successful
PAY0000007,INV0002761,STU001082,2026-09-01,Card,4144000,TXN-59086690WM,Successful
PAY0000008,INV0000264,STU001046,30/09/2023,Cash,26390000,TXN-03971124CG,Successful
PAY0000009,INV0000803,STU001257,2023-04-16,Card,19602000,TXN-04595972UI,Successful
PAY0000010,INV0002242,STU000544,20/04/2027,Cash,2964000,TXN-21921778EL,Successful
PAY0000011,INV0000691,STU001015,2029-10-17,Bank Transfer,6695000,TXN-58382097CC,Successful
PAY0000012,INV0000475,STU000742,2022-07-02,E-Wallet,5747000,TXN-66104786HJ,Successful
PAY0000013,INV0002730,STU000454,2023-07-01,Bank Transfer,11092000,TXN-05482251OK,Successful
PAY0000014,INV0002487,STU000967,2020-07-13,Bank Transfer,4741000,TXN-00928587UC,Successful
PAY0000015,INV0000273,STU001474,2022-07-10,Bank Transfer,26213000,TXN-77858401TY,Successful
PAY0000016,INV0002944,STU000246,2024-12-14,Bank Transfer,11763000,TXN-54043943MW,Successful
PAY0000017,INV0000261,STU000620,27/05/2024,E-Wallet,13788000,TXN-02795105MH,Successful
PAY0000018,INV0002067,STU000220,2023-01-28,Cash,17818000,TXN-97256181EW,Pending
PAY0000019,INV0002937,STU000320,2025-06-25,Bank Transfer,5150000,TXN-19073858KN,Successful
PAY0000020,INV0001714,STU000069,2025-04-27,Bank Transfer,5658000,TXN-75552649YO,Successful
PAY0000021,INV0002488,STU000444,2029-04-04,Card,4266000,TXN-70802976WZ,Successful
PAY0000022,INV0002387,STU000404,2027-12-11,E-Wallet,4780000,TXN-58026028GG,Successful
PAY0000023,INV0000660,STU001177,,Bank Transfer,17418000,TXN-56381858FG,Successful
PAY0000024,INV0000763,STU000325,2024-04-08,Card,24135000,TXN-85872478NB,Successful
PAY0000025,INV0002446,STU000156,2024-10-01,Card,21968000,TXN-87799883HS,Successful
PAY0000026,INV0001639,STU000495,2027-07-20,Bank Transfer,9721000,TXN-95825586TK,Successful
PAY0000027,INV0002051,STU000695,2027-02-04,Bank Transfer,25840000,TXN-89469705VN,Successful
PAY0000028,INV0001275,STU000712,2024-12-18,Bank Transfer,8161000,TXN-88658082ET,Successful
PAY0000029,INV0002426,STU000279,2028-03-11,E-Wallet,8153000,TXN-57898937PA,Failed
PAY0000030,INV0001689,STU001007,2023-09-27,Card,8244000,TXN-01470189BZ,Successful
PAY0000031,INV0002245,STU000267,2023-12-16,Cash,26211000,TXN-07849701QI,Successful
PAY0000032,INV0000716,STU000278,2021-10-05,E-Wallet,18319000,TXN-85606223DM,Successful
PAY0000033,INV0001921,STU000908,2026-10-16,Cash,15338000,TXN-60170894TD,Successful
PAY0000034,INV0000643,STU000680,2027-10-09,Card,9719000,TXN-53745426HU,Successful
PAY0000035,INV0000375,STU000945,2026-01-23,E-Wallet,20667000,TXN-11809352XR,Successful
PAY0000036,INV0002849,STU001323,2023-08-27,E-Wallet,20562000,TXN-50971397TE,Failed
PAY0000037,INV0000243,STU000150,2029-11-07,Cash,22192000,TXN-41559198NK,Successful
PAY0000038,INV0000433,STU000551,2026-07-12,Cash,12080000,TXN-24287401WA,Successful
PAY0000039,INV0000571,STU000992,,E-Wallet,5371000,TXN-02646769JH,Successful
PAY0000040,INV0001110,STU000280,2029-01-20,Cash,4076000,TXN-91494914VS,Successful
PAY0000041,INV0000734,STU000065,2030-04-02,Bank Transfer,26333000,TXN-80215794JN,Successful
PAY0000042,INV0000734,STU000065,2030-05-10,Cash,26308000,TXN-85657466WG,Successful
PAY0000043,INV0002190,STU000105,2028-11-03,E-Wallet,15711000,TXN-08314703PZ,Successful
PAY0000044,INV0002100,STU000278,2022-10-30,Bank Transfer,12812000,TXN-94130599NW,Successful
PAY0000045,INV0000257,STU000557,2022-07-10,Cash,5763000,TXN-54324640ZV,Successful
PAY0000046,INV0001684,STU000719,2023-02-28,Card,9197000,TXN-43491017SA,Successful
PAY0000047,INV0000817,STU000440,2024-07-31,Bank Transfer,14023000,TXN-31448377VV,Successful
PAY0000048,INV0001945,STU000868,2025-10-14,Cash,7544000,TXN-38929729PX,Successful
PAY0000049,INV0002963,STU001372,2025-08-19,Cash,7006000,TXN-44871919ST,Successful
PAY0000050,INV0002128,STU001105,2023-02-02,Cash,10907000,TXN-87548703AG,Successful
PAY0000051,INV0002697,STU001041,2025-10-01,E-Wallet,14779000,TXN-44207358CW,Successful
PAY0000052,INV0001439,STU001293,,Cash,12157000,TXN-83619371ZP,Successful
PAY0000053,INV0002304,STU000651,2022-09-13,E-Wallet,7178000,TXN-81722773NF,Successful
PAY0000054,INV0000273,STU001474,2021-09-09,Card,18880000,TXN-93761245LM,Successful
PAY0000055,INV0001872,STU000113,2021-07-26,E-Wallet,24035000,TXN-74854213QB,Successful
PAY0000056,INV0000453,STU001086,2025-03-03,Card,4712000,TXN-14761726SN,Successful
PAY0000057,INV0001333,STU000644,2025-05-04,Bank Transfer,30915000,TXN-76956506FP,Successful
PAY0000058,INV0002277,STU000463,2027-10-07,E-Wallet,9543000,TXN-77406372HO,Successful
PAY0000059,INV0001570,STU000036,2021-08-23,Card,14890000,TXN-46464068BT,Successful
PAY0000060,INV0001427,STU000707,2025-10-25,Cash,5942000,TXN-31506072UZ,Successful
PAY0000061,INV0000657,STU000495,2027-07-14,Cash,12192000,TXN-99147287ND,Successful
PAY0000062,INV0001220,STU000906,2023-01-15,Cash,14173000,TXN-60074749RX,Successful
PAY0000063,INV0000377,STU000918,12/11/2027,Cash,7193000,TXN-43229003EH,Failed
PAY0000064,INV0002731,STU000134,2024-05-21,E-Wallet,9318000,TXN-69144092YN,Successful
PAY0000065,INV0000053,STU000851,2023-10-26,E-Wallet,12445000,TXN-90119812OX,Successful
PAY0000066,INV0002705,STU000734,2025-10-13,Card,3604000,TXN-57892961SY,Successful
PAY0000067,INV0001314,STU001235,2023-11-21,Bank Transfer,15454000,TXN-30536588XG,Successful
PAY0000068,INV0001861,STU000771,2024-08-08,Card,20749000,TXN-98521034HM,Successful
PAY0000069,INV0002367,STU000142,2026-03-03,Cash,13620000,TXN-49206705NL,Successful
PAY0000070,INV0002900,STU000605,2024-07-22,Bank Transfer,15001000,TXN-95254580VA,Successful
PAY0000071,INV0002792,STU001197,2026-10-06,Bank Transfer,5930000,TXN-69090890HE,Successful
PAY0000072,INV0001752,STU000414,2025-09-05,Bank Transfer,21985000,TXN-46915986NQ,Failed
PAY0000073,INV0002965,STU001447,2022-07-18,E-Wallet,18307000,TXN-28272513YS,Successful
PAY0000074,INV0001402,STU000035,2026-03-09,Card,13188000,TXN-46452116JW,Successful
PAY0000075,INV0000386,STU000229,2025-09-03,Card,9230000,TXN-68921557AA,Successful
PAY0000076,INV0000080,STU001404,2028-01-13,Bank Transfer,25911000,TXN-60671722RB,Successful
PAY0000077,INV0002892,STU001213,2025-10-15,Cash,17975000,TXN-62848170CI,Successful
PAY0000078,INV0002483,STU000238,2022-06-18,Card,27853000,TXN-33364774SU,Successful
PAY0000079,INV0000956,STU000355,2026-11-03,E-Wallet,4548000,TXN-54743504JC,Failed
PAY0000080,INV0000601,STU000608,2024-12-10,E-Wallet,18240000,TXN-57645453VL,Successful
PAY0000081,INV0001271,STU001297,2024-08-24,Bank Transfer,8029000,TXN-50286644MK,Successful
PAY0000082,INV0001364,STU000194,2026-06-26,Cash,9838000,TXN-85998466HC,Successful
PAY0000083,INV0000115,STU000400,2025-11-24,Cash,19294000,TXN-47736202AR,Successful
PAY0000084,INV0000943,STU000372,2028-11-05,Cash,7572000,TXN-55964363VN,Successful
PAY0000085,INV0002881,STU000232,2025-07-11,E-Wallet,32560000,TXN-20938045OY,Successful
PAY0000086,INV0000855,STU000206,2022-12-05,Cash,6223000,TXN-03283334UK,Successful
PAY0000087,INV0001789,STU000883,2026-05-10,E-Wallet,18725000,TXN-24594446KA,Successful
PAY0000088,INV0001853,STU001134,2025-12-01,E-Wallet,4586000,TXN-63797460NO,Failed
PAY0000089,INV0001230,STU000788,2026-05-18,Cash,22626000,TXN-22115066IC,Successful
PAY0000090,INV0000380,STU000077,2026-06-16,Card,4907000,TXN-63800784YV,Successful
PAY0000091,INV0000442,STU000139,2024-01-13,Bank Transfer,18405000,TXN-24331371SX,Successful
PAY0000092,INV0001619,STU000152,2024-06-16,Cash,11765000,TXN-81981455AM,Pending
PAY0000093,INV0000549,STU000047,2022-08-01,Cash,19510000,TXN-45021948LE,Successful
PAY0000094,INV0002783,STU001011,2025-12-12,Bank Transfer,15781000,TXN-60633420SV,Successful
PAY0000095,INV0001746,STU000514,2028-02-12,Bank Transfer,14373000,TXN-36350005UH,Successful
PAY0000096,INV0000330,STU000903,2027-02-16,E-Wallet,5606000,TXN-75757908MB,Successful
PAY0000097,INV0000430,STU001375,2027-06-22,Card,7481000,TXN-30159079VI,Successful
