Invoice_ID,Student_ID,Semester,Academic_Year,Invoice_Date,Due_Date,Tuition_Fee,Scholarship_Amount,Late_Fee,Total_Amount,Invoice_Status
INV0000001,STU001485,HK1,2022-2023,2022-01-28,2022-02-28,34316000,3432000,0,30884000,Partially Paid
INV0000002,STU001004,HK2,2027-2028,2027-04-10,2027-05-26,15416000,0,0,15416000,Partially Paid
INV0000003,STU001437,HK Hè,2022-2023,2022-12-31,2023-02-07,28890000,0,634000,29524000,Issued
INV0000004,STU001018,HK1,2026-2027,2026-04-06,2026-05-22,12588000,0,0,12588000,Overdue
INV0000005,STU001308,HK2,2026-2027,2026-08-06,2026-09-16,8443000,0,0,8443000,Issued
INV0000006,STU000644,HK Hè,2027-2028,2027-09-21,2027-11-03,16428000,0,0,16428000,Overdue
INV0000007,STU001430,HK2,2025-2026,2025-03-04,2025-04-16,13598000,0,1309000,14907000,Issued
INV0000008,STU000476,HK Hè,2020-2021,2020-11-25,2021-01-22,13070000,0,1199000,14269000,Overdue
INV0000009,STU001081,HK2,2025-2026,2025-11-02,2025-12-17,8707000,0,0,8707000,Partially Paid
INV0000010,STU000117,HK2,2025-2026,2025-07-03,2025-08-26,27931000,0,0,27931000,Issued
INV0000011,STU000583,HK2,2029-2030,2029-04-04,2029-05-24,31311000,7828000,1308000,24791000,Paid
INV0000012,STU000976,HK Hè,2029-2030,2029-09-25,2029-11-14,27673000,0,1309000,28982000,Overdue
INV0000013,STU000279,HK Hè,2023-2024,2023-08-15,2023-09-08,12293000,0,0,12293000,Partially Paid
INV0000014,STU000081,HK1,2026-2027,2026-01-20,2026-03-19,30161000,7540000,0,22621000,Partially Paid
INV0000015,STU000425,HK Hè,2021-2022,2021-02-06,2021-03-25,16496000,0,0,16496000,Paid
INV0000016,STU001323,HK2,2027-2028,2027-09-09,2027-10-20,34901000,8725000,431000,26607000,Issued
INV0000017,STU000663,HK1,2024-2025,2024-12-19,2025-01-18,9340000,934000,1249000,9655000,Partially Paid
INV0000018,STU001427,HK Hè,2025-2026,2025-03-22,2025-04-22,33919000,0,0,33919000,Overdue
INV0000019,STU000544,HK1,2029-2030,2029-01-07,2029-02-23,22253000,0,0,22253000,Overdue
INV0000020,STU001126,HK Hè,2020-2021,2020-08-12,2020-09-19,13924000,6962000,0,6962000,Partially Paid
INV0000021,STU000949,HK2,2023-2024,2023-11-19,2023-12-11,31543000,3154000,978000,29367000,Issued
INV0000022,STU000277,HK Hè,2025-2026,2025-12-02,2025-12-27,10902000,1090000,0,9812000,Paid
INV0000023,STU001027,HK Hè,2023-2024,2023-05-19,2023-07-11,23291000,11646000,0,11645000,Overdue
INV0000024,STU001444,HK1,2021-2022,2021-12-08,2022-02-05,28087000,0,0,28087000,Partially Paid
INV0000025,STU000813,HK1,2024-2025,2024-06-21,2024-08-11,11971000,0,0,12627000,Issued
INV0000026,STU000942,HK Hè,2020-2021,2020-10-09,2020-11-04,28334000,14167000,1123000,15290000,Issued
INV0000027,STU000231,HK Hè,2026-2027,2026-06-29,2026-07-31,33781000,0,0,33781000,Issued
INV0000028,STU001432,HK1,2023-2024,2023-01-19,2023-03-13,27196000,2720000,0,24476000,Partially Paid
INV0000029,STU000037,HK2,2025-2026,2025-08-09,2025-10-04,27970000,0,968000,28938000,Paid
INV0000030,STU000337,HK1,2023-2024,2023-07-08,2023-08-11,10332000,2583000,638000,8387000,Partially Paid
INV0000031,STU000130,HK2,2027-2028,2027-03-30,2027-04-30,32331000,0,0,32331000,Issued
INV0000032,STU000589,HK1,2027-2028,2027-09-07,24/10/2027,25970000,6492000,656000,20134000,Overdue
INV0000033,STU000912,HK2,2026-2027,2026-01-22,2026-02-16,11646000,2912000,0,8734000,Paid
INV0000034,STU000239,HK2,2025-2026,2025-11-15,2025-12-21,28644000,2864000,370000,26150000,Partially Paid
INV0000035,STU000327,HK2,2028-2029,2028-11-29,2028-12-29,18210000,9105000,0,9105000,Paid
INV0000036,STU001120,HK2,2025-2026,2025-08-27,2025-10-04,17439000,0,0,17439000,Paid
INV0000037,STU000037,HK Hè,2022-2023,2022-07-15,2022-09-08,10365000,5182000,0,5183000,Paid
INV0000038,STU000289,HK1,2026-2027,2026-09-27,2026-10-18,16574000,4144000,0,12430000,Issued
INV0000039,STU001460,HK Hè,2023-2024,2023-07-05,2023-08-20,16545000,0,0,16545000,Issued
INV0000040,STU000193,HK2,2025-2026,2025-10-16,2025-12-10,9726000,0,0,9726000,Partially Paid
INV0000041,STU000977,HK Hè,2024-2025,2024-06-26,2024-08-11,8460000,0,0,8460000,Partially Paid
INV0000042,STU001370,HK1,2025-2026,2025-02-12,12/03/2025,28760000,2876000,1170000,27054000,Overdue
INV0000043,STU001343,HK1,2028-2029,2028-01-29,2028-03-09,11970000,5985000,0,5985000,Overdue
INV0000044,STU000532,HK1,2025-2026,2025-05-26,2025-07-02,10541000,1054000,0,9487000,Issued
INV0000045,STU001091,HK Hè,2021-2022,2021-11-21,2022-01-04,27418000,0,0,27418000,Paid
INV0000046,STU001451,HK Hè,2022-2023,2022-01-28,2022-03-01,29923000,2992000,0,26931000,Issued
INV0000047,STU000515,HK1,2024-2025,2024-11-08,2024-12-30,11948000,2987000,0,8961000,Paid
INV0000048,STU001463,HK2,2021-2022,2021-05-20,2021-06-27,26329000,0,0,26329000,Issued
INV0000049,STU000381,HK1,2024-2025,2024-11-02,2024-12-09,33814000,16907000,0,16907000,Overdue
INV0000050,STU000762,HK Hè,2025-2026,2025-04-03,2025-05-09,29956000,0,0,29956000,Overdue
INV0000051,STU000869,HK Hè,2026-2027,2026-09-19,2026-11-05,23580000,5895000,1371000,19056000,Overdue
INV0000052,STU001411,HK Hè,2024-2025,2024-03-18,2024-05-10,17692000,0,0,17692000,Partially Paid
INV0000053,STU000851,HK2,2023-2024,2023-09-30,2023-11-12,31027000,15514000,0,15513000,Overdue
INV0000054,STU000640,HK Hè,2025-2026,2025-09-23,2025-10-28,27810000,0,0,28665000,Issued
INV0000055,STU000055,HK2,2026-2027,2026-02-19,2026-04-06,27986000,0,1422000,29408000,Overdue
INV0000056,STU001438,HK2,2024-2025,2024-09-03,2024-09-29,11234000,1123000,0,10111000,Issued
INV0000057,STU000393,HK1,2026-2027,2026-12-06,2027-01-13,26890000,0,1397000,28287000,Issued
INV0000058,STU001445,HK Hè,2023-2024,2023-03-14,23/04/2023,8731000,2183000,0,6548000,Issued
INV0000059,STU001170,HK1,2021-2022,2021-08-17,2021-09-23,28837000,7209000,0,21628000,Overdue
INV0000060,STU001205,HK2,2026-2027,2026-01-30,2026-03-24,14462000,0,0,14462000,Issued
INV0000061,STU001356,HK Hè,2025-2026,2025-10-16,2025-11-10,20684000,10342000,0,10342000,Partially Paid
INV0000062,STU000178,HK1,2025-2026,2025-01-02,2025-02-09,26236000,6559000,0,19677000,Paid
INV0000063,STU001283,HK2,2027-2028,2027-05-04,2027-06-29,10317000,5158000,0,5159000,Overdue
INV0000064,STU000260,HK2,2023-2024,2023-12-10,2024-01-21,10968000,0,0,10968000,Partially Paid
INV0000065,STU000128,HK2,2024-2025,2024-10-03,2024-11-18,17198000,4300000,0,12898000,Partially Paid
INV0000066,STU000928,HK Hè,2024-2025,2024-06-03,2024-07-29,15130000,3782000,0,11348000,Partially Paid
INV0000067,STU000755,HK Hè,2026-2027,2026-07-10,2026-07-30,30460000,15230000,675000,15905000,Partially Paid
INV0000068,STU000856,HK1,2023-2024,2023-04-13,2023-05-05,22989000,11494000,0,11495000,Overdue
INV0000069,STU000664,HK1,2028-2029,2028-06-24,2028-08-05,12633000,3158000,0,9475000,Overdue
INV0000070,STU001310,HK Hè,2026-2027,2026-01-22,2026-03-01,25299000,0,304000,25603000,Partially Paid
INV0000071,STU000327,HK1,2025-2026,2025-02-03,2025-04-03,9450000,0,0,9450000,Partially Paid
INV0000072,STU001025,HK1,2024-2025,2024-06-19,2024-07-28,21962000,2196000,0,19766000,Partially Paid
INV0000073,STU001310,HK1,2025-2026,2025-05-27,2025-07-15,32056000,3206000,417000,29267000,Issued
INV0000074,STU000220,HK Hè,2022-2023,2022-07-18,2022-08-27,28305000,7076000,0,21229000,Partially Paid
